client_id,material_number,plant_code,shipment_week,quantity_shipped
100,000000000000000004,1000,2022-01-03,4.0
100,000000000000000004,1000,2022-01-10,12.0
100,C0000001,1000,2022-01-10,10.0
100,C0000001,1000,2022-01-17,10.0
100,C0000001,1000,2022-02-07,9.0
100,C0000001,1000,2022-02-14,3.0
100,C0000001,1000,2022-02-28,5.0
100,C0000001,1000,2022-03-07,24.0
100,C0000001,1000,2022-03-14,236.0
100,C0000001,1000,2022-03-21,259.0
100,C0000001,1000,2022-03-28,71.0
100,C0000001,1000,2022-04-04,34.0
100,C0000001,1000,2022-04-11,5.0
100,C0000001,1000,2022-04-18,5.0
100,C0000001,2000,2022-01-17,2.0
100,C0000001,2000,2022-02-07,5.0
100,C0000001,2000,2022-03-07,6.0
100,C0000001,2000,2022-03-14,38.0
100,C0000001,2000,2022-03-21,50.0
100,C0000001,2000,2022-03-28,12.0
100,C0000001,3000,2022-01-24,82.0
100,C0000001,3000,2022-03-07,6.0
100,C0000001,3000,2022-03-14,9.0
100,C0000001,3000,2022-03-21,65.0
100,C0000001,3000,2022-03-28,140.0
100,C0000001,4000,2022-01-31,64.0
100,C0000001,4000,2022-03-07,10.0
100,C0000001,4000,2022-03-14,23.0
100,C0000001,4000,2022-03-21,75.0
100,C0000001,4000,2022-03-28,134.0
100,C0000001,4000,2022-04-04,14.0
100,C0000001,5000,2022-01-24,4.0
100,C0000001,5000,2022-01-31,54.0
100,C0000001,5000,2022-03-07,6.0
100,C0000001,5000,2022-03-14,47.0
100,C0000001,5000,2022-03-21,137.0
100,C0000001,5000,2022-03-28,239.0
100,C0000001,5000,2022-04-04,12.0
100,C0000001,5000,2022-04-11,150.0
100,C0000002,1000,2022-01-10,9.0
100,C0000002,1000,2022-02-28,11.0
100,C0000002,1000,2022-03-07,24.0
100,C0000002,1000,2022-03-14,24.0
100,C0000002,1000,2022-03-21,167.0
100,C0000002,1000,2022-03-28,71.0
100,C0000002,1000,2022-04-04,6.0
100,C0000002,2000,2022-01-17,4.0
100,C0000002,2000,2022-03-07,5.0
100,C0000002,2000,2022-03-14,36.0
100,C0000002,2000,2022-03-21,53.0
100,C0000002,2000,2022-03-28,26.0
100,C0000002,3000,2022-01-24,61.0
100,C0000002,3000,2022-03-07,5.0
100,C0000002,3000,2022-03-14,14.0
100,C0000002,3000,2022-03-21,62.0
