mandt,periv,bdatj,bumon,butag,poper,reljr,operation_flag,is_deleted,recordstamp
800,PS,0000,01,31,007,0,L,False,2021-12-23 14:58:49.850096+00:00
100,24,,01,15,001,0,I,False,2022-04-21 15:05:23.395339+00:00
100,24,,01,31,002,0,I,False,2022-04-21 15:05:23.395339+00:00
000,24,,01,15,001,0,L,False,2022-01-31 20:43:46.193534+00:00
001,24,,01,15,001,0,L,False,2022-01-31 20:43:46.193534+00:00
050,24,,01,15,001,0,L,False,2022-01-31 20:43:46.193534+00:00
100,24,,01,15,001,0,L,False,2022-01-31 20:43:46.193534+00:00
200,24,,01,15,001,0,L,False,2022-01-31 20:43:46.193534+00:00
250,24,,01,15,001,0,L,False,2022-01-31 20:43:46.193534+00:00
000,24,,01,31,002,0,L,False,2022-01-31 20:43:46.193534+00:00
001,24,,01,31,002,0,L,False,2022-01-31 20:43:46.193534+00:00
050,24,,01,31,002,0,L,False,2022-01-31 20:43:46.193534+00:00
100,24,,01,31,002,0,L,False,2022-01-31 20:43:46.193534+00:00
200,24,,01,31,002,0,L,False,2022-01-31 20:43:46.193534+00:00
250,24,,01,31,002,0,L,False,2022-01-31 20:43:46.193534+00:00
800,24,0000,01,15,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,24,0000,01,31,002,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AA,1997,01,31,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AA,1996,01,31,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AA,1998,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1992,01,31,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1993,01,31,001,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1997,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1996,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1995,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1998,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
800,AM,1994,01,31,004,0,L,False,2021-12-23 14:58:49.850096+00:00
100,DL,,01,01,001,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,02,002,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,03,003,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,04,004,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,05,005,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,06,006,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,07,007,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,08,008,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,09,009,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,10,010,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,11,011,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,12,012,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,13,013,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,14,014,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,15,015,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,16,016,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,17,017,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,18,018,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,19,019,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,20,020,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,21,021,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,22,022,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,23,023,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,24,024,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,25,025,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,26,026,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,27,027,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,28,028,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,29,029,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,30,030,0,I,False,2022-04-21 15:05:23.395339+00:00
100,DL,,01,31,031,0,I,False,2022-04-21 15:05:23.395339+00:00
000,DL,,01,01,001,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,01,001,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,01,001,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,01,001,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,01,001,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,01,001,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,02,002,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,02,002,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,02,002,0,L,False,2022-01-31 20:43:46.193534+00:00
100,DL,,01,02,002,0,L,False,2022-01-31 20:43:46.193534+00:00
200,DL,,01,02,002,0,L,False,2022-01-31 20:43:46.193534+00:00
250,DL,,01,02,002,0,L,False,2022-01-31 20:43:46.193534+00:00
000,DL,,01,03,003,0,L,False,2022-01-31 20:43:46.193534+00:00
001,DL,,01,03,003,0,L,False,2022-01-31 20:43:46.193534+00:00
050,DL,,01,03,003,0,L,False,2022-01-31 20:43:46.193534+00:00
